feel_depressed,comparison_frequency,seeks_validation,distractibility_scale,difficulty_concentrating,interest_fluctuation,sleep_issues,usage_without_purpose,distraction_while_busy,age,gender,relationship_status,occupation_status
5,2,2,5,5,4,5,5,3,21,Male,In a relationship,University Student
5,5,1,4,4,4,5,4,3,21,Female,Single,University Student
4,3,1,2,4,2,5,3,2,21,Female,Single,University Student
4,5,2,3,3,3,2,4,2,21,Female,Single,University Student
4,3,3,4,5,4,1,3,5,21,Female,Single,University Student
3,4,3,3,3,2,4,4,4,22,Female,Single,University Student
5,5,4,2,3,5,3,4,3,21,Female,Married,University Student
5,1,1,3,1,5,1,5,2,21,Female,In a relationship,University Student
5,1,1,3,1,5,1,5,2,21,Female,In a relationship,University Student
1,1,1,1,1,1,1,1,1,20,Male,Single,University Student
5,4,3,4,5,4,5,5,5,24,Male,Single,University Student
3,2,3,5,4,4,2,4,4,21,Female,Single,University Student
3,4,1,4,2,1,5,3,4,22,Female,Single,University Student
3,2,2,1,4,3,3,5,3,21,Female,Single,University Student
5,5,5,5,5,5,5,5,5,22,Male,Single,University Student
3,3,2,3,4,4,2,3,4,23,Male,In a relationship,University Student
4,1,1,2,2,1,3,2,2,21,Male,Single,University Student
2,1,2,4,3,2,2,5,5,25,Male,Single,School Student
3,2,1,4,5,3,1,3,4,28,Male,Single,University Student
2,1,3,3,1,2,2,2,4,34,Male,Divorced,Salaried Worker
2,2,1,3,2,3,2,4,2,22,Male,In a relationship,University Student
3,5,1,2,2,3,1,3,2,23,Male,Single,University Student
4,4,3,3,4,4,4,3,4,26,Female,Single,University Student
4,3,3,4,3,4,1,3,2,23,Female,Married,University Student
3,4,3,5,5,5,5,3,3,23,Male,Single,University Student
4,4,4,3,3,2,2,4,4,35,Female,Married,Salaried Worker
4,2,3,3,4,3,4,4,4,20,Male,Single,University Student
4,4,4,4,4,4,5,2,4,35,Male,Married,Salaried Worker
4,4,2,4,4,4,1,3,4,22,Female,In a relationship,University Student
5,4,3,5,4,4,1,4,4,21,Female,Single,University Student
5,5,3,3,4,4,3,4,4,22,Female,In a relationship,University Student
3,2,2,3,2,4,2,3,4,35,Male,Married,Salaried Worker
2,2,3,3,4,3,3,3,3,24,Male,Single,Salaried Worker
3,3,4,3,3,3,2,4,3,18,Female,Single,School Student
5,2,1,5,5,4,4,5,5,19,Female,Single,University Student
4,1,1,4,5,2,1,3,4,21,Other,Single,University Student
3,5,4,3,3,3,1,5,3,21,Male,Single,University Student
5,1,1,1,3,4,5,2,3,23,Male,Single,University Student
2,2,3,4,4,2,5,4,5,22,Female,Single,University Student
1,1,1,4,5,3,4,4,4,22,Male,Single,University Student
3,2,2,1,1,3,1,1,1,21,Female,Single,University Student
4,3,2,3,3,2,2,3,5,21,Female,Single,University Student
5,5,1,4,4,4,2,3,2,19,Female,Single,School Student
3,1,3,3,3,3,3,5,1,24,Male,Single,Salaried Worker
3,3,3,4,2,2,3,4,5,22,Female,In a relationship,University Student
3,4,1,3,3,5,1,4,3,17,Female,Single,School Student
2,2,1,3,3,2,1,3,3,40,Male,Married,Salaried Worker
1,2,1,3,1,1,1,3,3,33,Female,Single,Salaried Worker
3,1,3,4,2,4,4,4,4,22,Female,Single,University Student
3,2,1,5,5,5,1,5,5,24,Male,Single,Salaried Worker
5,5,5,5,5,5,5,3,5,26,Male,Single,University Student
1,1,1,2,1,3,2,4,1,26,Male,In a relationship,Salaried Worker
5,3,4,4,5,2,3,2,5,27,Male,Single,University Student
3,1,1,2,2,4,2,3,2,22,Male,Married,University Student
4,3,2,2,3,4,5,3,2,19,Female,Single,School Student
5,3,4,4,4,4,2,4,5,22,Female,Married,University Student
1,1,1,2,2,3,5,1,1,20,Female,Married,University Student
4,2,2,4,4,3,4,4,3,25,Female,Single,University Student
4,5,4,3,4,5,4,2,2,25,Female,Married,University Student
5,1,1,5,3,4,5,4,4,18,Female,Single,University Student
5,1,1,3,4,1,5,3,1,25,Male,Single,Salaried Worker
1,1,1,5,5,5,4,2,3,19,Female,Single,University Student
2,1,2,3,2,4,4,3,2,24,Male,In a relationship,School Student
4,5,4,5,5,4,1,5,5,21,Male,In a relationship,University Student
4,2,2,3,3,2,4,2,1,18,Other,Single,School Student
3,3,2,3,2,4,4,4,4,25,Male,Single,University Student
1,1,1,2,2,2,2,2,4,33,Male,Married,Salaried Worker
5,5,5,5,5,5,5,5,5,23,Male,Single,School Student
2,1,1,3,1,1,2,5,2,38,Male,Married,Salaried Worker
5,3,4,3,5,5,4,4,4,23,Female,Single,Retired
2,1,1,3,1,3,4,2,1,26,Male,Single,Salaried Worker
5,2,4,4,2,4,2,4,5,24,Male,Single,University Student
4,5,2,4,4,4,2,4,3,21,Female,Single,University Student
5,4,1,3,5,5,5,4,3,18,Female,Single,University Student
5,5,1,3,5,3,5,2,5,28,Male,Single,University Student
4,3,1,5,5,4,5,4,4,22,Male,Single,University Student
1,3,2,5,4,5,4,4,4,21,Male,Single,University Student
4,2,2,5,5,5,2,5,5,21,Male,Single,University Student
4,4,3,5,5,5,5,3,5,21,Female,In a relationship,University Student
2,3,4,4,4,4,2,4,4,17,Male,Single,School Student
4,3,2,3,2,3,1,4,3,24,Other,Single,Salaried Worker
2,1,2,4,3,4,4,3,4,22,Female,In a relationship,University Student
1,2,1,5,5,2,1,4,3,32,Female,Married,Salaried Worker
3,1,5,2,3,2,2,5,4,22,Male,Single,University Student
5,4,4,5,5,5,4,4,5,20,Female,In a relationship,University Student
4,2,2,4,4,4,3,3,5,22,Male,In a relationship,University Student
4,2,2,5,5,5,2,4,5,28,Female,Single,University Student
4,1,2,4,4,2,1,4,3,22,Female,Single,University Student
3,3,2,4,4,3,5,4,4,17,Other,Single,School Student
4,3,3,2,4,4,4,4,5,30,Female,Single,Salaried Worker
3,2,1,3,5,1,5,5,5,22,Male,Single,University Student
4,2,1,2,1,3,2,4,2,20,Male,Single,School Student
5,5,4,4,5,5,3,4,4,22,Female,Single,School Student
2,3,4,5,4,1,3,4,5,16,Male,Single,School Student
3,2,3,4,3,2,3,3,4,22,Female,In a relationship,University Student
5,1,1,4,2,3,5,5,4,22,Male,In a relationship,University Student
4,2,3,3,3,3,3,3,4,22,Male,Single,University Student
3,3,4,3,5,5,5,4,3,22,Male,Single,University Student
1,3,4,3,3,3,3,2,3,21,Female,Single,University Student
2,3,3,3,3,4,5,2,3,23,Female,Single,University Student
3,1,3,4,2,4,5,3,2,23,Female,Single,University Student
2,2,3,3,3,2,5,3,2,21,Female,In a relationship,University Student
4,5,3,4,3,2,3,4,5,26,Female,Single,Salaried Worker
4,5,4,4,2,4,1,2,5,27,Female,Single,Salaried Worker
2,3,3,5,1,5,4,5,5,34,Female,Married,Salaried Worker
3,3,1,5,5,3,5,5,5,20,Female,Single,University Student
3,3,4,4,4,3,4,5,4,22,Female,Single,University Student
5,5,4,5,4,4,5,5,5,23,Female,In a relationship,University Student
4,2,3,4,5,4,5,4,5,20,Male,Single,University Student
3,4,1,2,2,3,3,4,3,20,Female,Single,University Student
5,2,1,5,5,4,3,4,5,20,Female,Single,University Student
4,3,1,5,5,2,2,4,5,22,Female,Single,University Student
1,4,4,3,3,4,1,5,5,22,Female,Single,University Student
4,2,2,5,3,5,3,4,4,20,Female,Single,University Student
4,3,2,3,4,4,4,1,1,24,Male,Single,University Student
4,5,4,3,3,2,5,3,2,23,Female,Single,University Student
4,5,1,2,1,5,3,5,2,20,Female,Single,University Student
3,2,1,3,2,3,2,3,1,16,Male,Single,School Student
3,2,2,3,3,1,4,3,3,24,Male,Single,Salaried Worker
2,3,1,2,1,1,1,3,2,38,Female,Married,Salaried Worker
3,5,3,5,5,5,4,4,5,27,Female,Married,Salaried Worker
4,3,3,2,3,3,1,4,2,40,Female,Single,Salaried Worker
5,5,3,3,2,5,5,4,3,21,Female,Single,University Student
4,5,4,4,4,3,4,4,4,20,Female,In a relationship,University Student
2,2,3,1,2,2,2,3,2,21,Male,In a relationship,University Student
1,1,1,3,1,2,5,5,2,32,Female,Married,Salaried Worker
3,3,2,5,5,5,4,2,2,21,Female,In a relationship,University Student
1,1,1,2,4,1,4,3,2,36,Female,Married,Salaried Worker
4,1,2,2,3,2,4,3,1,37,Female,Married,Retired
4,2,4,3,4,5,5,5,4,19,Female,In a relationship,School Student
2,4,2,2,1,2,5,4,2,30,Male,In a relationship,Salaried Worker
2,3,3,3,1,1,4,2,4,21,Male,Single,University Student
2,2,1,4,3,2,1,2,3,21,Male,In a relationship,University Student
3,3,1,4,4,3,4,5,5,20,Male,Single,University Student
3,5,2,4,5,4,4,4,5,20,Female,Single,University Student
5,3,4,3,5,5,5,5,5,20,Male,Single,University Student
3,4,4,4,2,3,1,4,4,21,Female,Single,University Student
4,5,3,5,4,4,5,4,3,20,Female,In a relationship,University Student
1,1,4,1,1,1,1,3,2,35,Female,Divorced,Salaried Worker
4,1,3,4,5,3,5,5,3,23,Female,Single,University Student
3,3,1,5,4,5,5,3,5,21,Female,Single,University Student
4,3,4,2,1,2,1,3,2,21,Female,In a relationship,University Student
4,5,2,3,2,4,5,5,4,37,Female,Married,Salaried Worker
5,2,4,4,4,3,2,3,4,25,Female,Married,Salaried Worker
3,2,3,5,3,4,4,5,5,22,Female,In a relationship,University Student
2,3,2,3,3,2,2,3,2,45,Male,Married,Salaried Worker
4,3,3,3,5,3,4,5,3,24,Female,Married,University Student
2,2,5,5,5,5,5,5,5,21,Female,In a relationship,University Student
4,1,3,2,2,2,1,3,2,22,Female,Single,University Student
4,3,3,3,3,3,1,3,4,19,Female,Single,School Student
4,3,1,4,4,4,4,3,3,21,Female,In a relationship,University Student
5,2,4,3,3,3,4,5,3,22,Female,In a relationship,University Student
4,1,4,4,4,5,5,4,5,20,Male,Single,University Student
1,1,1,1,1,3,1,3,1,42,Female,Married,Salaried Worker
3,2,1,2,3,2,2,5,3,35,Female,Married,Salaried Worker
2,3,3,2,2,2,2,3,3,38,Male,Married,Salaried Worker
1,1,1,2,1,1,2,2,2,17,Male,Single,School Student
1,1,1,2,1,2,1,3,1,32,Male,Married,Salaried Worker
2,4,2,5,5,3,2,3,3,21,Female,Single,University Student
3,2,2,2,3,2,5,4,2,22,Male,In a relationship,University Student
3,1,1,3,3,3,4,5,5,27,Female,Married,University Student
3,5,4,5,5,5,3,4,5,21,Male,In a relationship,University Student
5,1,1,5,5,5,5,5,5,27,Male,Married,Salaried Worker
2,3,3,2,2,1,4,3,2,20,Male,Single,School Student
1,2,1,5,3,3,2,4,4,27,Female,Married,Salaried Worker
5,5,1,5,5,5,4,5,5,24,Male,Single,University Student
1,1,1,1,1,1,1,3,2,26,Female,Single,Salaried Worker
4,5,3,2,3,3,4,2,1,20,Female,Single,University Student
3,4,4,3,3,3,2,3,3,31,Male,Single,Salaried Worker
1,1,1,1,1,1,1,5,1,21,Male,Single,University Student
5,4,5,3,4,5,5,5,3,34,Male,Married,Salaried Worker
1,1,1,1,1,1,1,1,1,22,Male,Single,University Student
4,2,5,3,3,5,1,3,3,20,Female,In a relationship,University Student
3,1,1,1,1,2,1,4,2,23,Male,In a relationship,University Student
2,4,3,3,4,3,2,4,4,37,Male,Married,Salaried Worker
5,4,3,3,4,4,4,3,3,22,Male,Single,University Student
3,4,3,5,5,4,4,4,4,21,Female,In a relationship,University Student
2,1,1,3,2,4,1,4,4,23,Female,Single,University Student
3,5,3,3,3,4,3,4,3,21,Female,Single,University Student
3,2,3,3,2,3,3,3,3,22,Female,Single,University Student
4,3,3,4,4,4,3,3,1,22,Female,In a relationship,University Student
2,5,3,3,4,4,3,2,5,22,Female,In a relationship,University Student
4,5,5,3,4,4,3,5,4,19,Female,Single,University Student
2,1,2,5,5,2,5,5,5,23,Female,Single,University Student
4,3,4,4,4,4,5,4,5,21,Male,In a relationship,University Student
4,4,3,2,3,1,1,2,3,24,Female,In a relationship,University Student
1,5,2,1,2,3,1,3,1,20,Female,Single,University Student
5,4,3,1,3,2,5,5,5,25,Male,Single,University Student
1,1,1,2,1,1,1,2,1,21,Female,Single,University Student
4,4,1,5,4,4,3,4,4,23,Male,In a relationship,University Student
4,4,4,4,3,5,1,5,4,22,Female,In a relationship,Salaried Worker
2,3,1,2,1,1,1,2,1,36,Male,Married,Salaried Worker
5,3,2,5,2,3,5,5,5,22,Female,Single,University Student
4,5,5,5,1,5,5,3,4,25,Female,Single,Salaried Worker
4,5,4,5,3,4,2,4,2,22,Female,Single,University Student
2,5,4,5,5,3,4,3,4,23,Male,Single,University Student
3,3,2,3,3,2,5,3,2,23,Male,Single,University Student
3,2,3,3,5,5,5,5,3,19,Female,Single,School Student
3,1,2,4,2,2,3,3,5,21,Female,Single,University Student
4,4,3,4,4,4,2,5,5,27,Female,In a relationship,Salaried Worker
4,4,2,2,3,2,1,4,3,25,Female,Single,University Student
2,1,1,3,1,2,3,4,2,20,Female,Single,University Student
1,2,5,1,5,2,1,2,5,34,Female,Married,Salaried Worker
4,3,3,3,3,5,4,5,5,23,Female,Single,University Student
1,2,1,1,1,1,1,2,2,34,Female,Married,Salaried Worker
5,3,3,5,5,4,4,5,5,26,Female,Single,Salaried Worker
5,2,4,5,5,1,5,4,5,25,Male,Single,University Student
2,1,2,3,2,3,3,5,4,22,Female,Married,University Student
2,1,2,3,2,4,2,4,2,20,Male,Single,University Student
3,5,3,4,5,4,5,4,5,23,Female,Single,University Student
1,1,1,1,1,2,3,4,1,22,Female,Single,University Student
4,3,4,3,4,3,2,3,3,23,Female,Single,University Student
3,2,2,2,4,1,4,2,3,21,Female,In a relationship,University Student
2,1,2,2,1,3,3,4,1,36,Female,Married,Salaried Worker
5,3,3,3,4,5,4,3,3,21,Female,In a relationship,University Student
3,4,3,2,3,2,2,2,2,22,Female,Single,University Student
3,4,4,4,4,4,3,4,4,22,Male,Single,University Student
2,4,2,4,4,3,2,5,2,22,Female,Single,University Student
3,4,3,3,3,3,2,3,3,20,Female,Single,University Student
2,2,1,3,2,2,4,4,4,26,Female,In a relationship,Salaried Worker
4,2,2,5,4,2,4,3,3,21,Male,Single,University Student
3,2,1,5,5,4,5,4,5,20,Female,Single,University Student
3,1,1,2,1,3,2,3,2,21,Female,In a relationship,University Student
2,1,1,5,3,1,5,3,2,19,Female,Single,School Student
5,5,4,5,5,5,5,4,5,20,Female,Single,University Student
3,2,4,4,3,3,4,5,4,22,Female,Single,University Student
5,1,1,5,5,1,5,2,2,23,Male,Single,University Student
3,4,3,5,4,4,3,4,4,21,Male,Single,University Student
5,4,3,5,4,5,5,5,4,21,Female,In a relationship,University Student
5,5,5,5,5,5,5,5,5,22,Male,In a relationship,University Student
5,5,1,5,5,5,5,5,5,26,Male,Single,Salaried Worker
5,1,4,3,3,2,2,4,4,22,Female,In a relationship,University Student
5,5,4,3,3,3,4,3,4,17,Male,Single,School Student
3,5,4,4,4,4,5,4,3,23,Male,Single,University Student
4,5,4,4,4,3,3,2,4,21,Male,Single,School Student
2,2,1,1,1,1,2,1,1,22,Female,Single,University Student
5,4,1,2,3,4,5,4,5,20,Male,Single,University Student
4,3,3,4,4,4,4,4,4,24,Female,Single,University Student
3,3,2,5,5,4,4,4,4,22,Female,Single,University Student
2,2,3,3,3,3,2,4,3,24,Male,Single,University Student
5,5,4,5,4,4,4,3,4,22,Female,Single,University Student
4,2,4,2,2,2,2,3,3,26,Male,In a relationship,University Student
3,1,3,2,2,2,4,2,1,24,Female,In a relationship,Salaried Worker
3,3,3,2,3,4,4,3,4,22,Female,Single,University Student
4,3,2,2,3,2,3,3,2,25,Female,In a relationship,University Student
